Description	
Number of Runs	1000
Preset Time	1
Pause Time	0
Alarm Level	0
High Voltage	900
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	900	5	1	02/03/23 03:44:48 PM	
2	900	11	1	02/03/23 03:44:49 PM	
3	900	11	1	02/03/23 03:44:50 PM	
4	900	11	1	02/03/23 03:44:51 PM	
5	900	4	1	02/03/23 03:44:52 PM	
6	900	8	1	02/03/23 03:44:53 PM	
7	900	10	1	02/03/23 03:44:54 PM	
8	900	14	1	02/03/23 03:44:55 PM	
9	900	9	1	02/03/23 03:44:57 PM	
10	900	15	1	02/03/23 03:44:58 PM	
11	900	13	1	02/03/23 03:44:59 PM	
12	900	9	1	02/03/23 03:45:00 PM	
13	900	7	1	02/03/23 03:45:01 PM	
14	900	12	1	02/03/23 03:45:02 PM	
15	900	7	1	02/03/23 03:45:03 PM	
16	900	14	1	02/03/23 03:45:04 PM	
17	900	7	1	02/03/23 03:45:05 PM	
18	900	12	1	02/03/23 03:45:07 PM	
19	900	6	1	02/03/23 03:45:08 PM	
20	900	16	1	02/03/23 03:45:09 PM	
21	900	7	1	02/03/23 03:45:10 PM	
22	900	9	1	02/03/23 03:45:11 PM	
23	900	14	1	02/03/23 03:45:12 PM	
24	900	9	1	02/03/23 03:45:13 PM	
25	900	9	1	02/03/23 03:45:14 PM	
26	900	10	1	02/03/23 03:45:16 PM	
27	900	9	1	02/03/23 03:45:17 PM	
28	900	7	1	02/03/23 03:45:18 PM	
29	900	12	1	02/03/23 03:45:19 PM	
30	900	10	1	02/03/23 03:45:20 PM	
31	900	8	1	02/03/23 03:45:21 PM	
32	900	9	1	02/03/23 03:45:22 PM	
33	900	11	1	02/03/23 03:45:23 PM	
34	900	17	1	02/03/23 03:45:24 PM	
35	900	8	1	02/03/23 03:45:26 PM	
36	900	5	1	02/03/23 03:45:27 PM	
37	900	5	1	02/03/23 03:45:28 PM	
38	900	9	1	02/03/23 03:45:29 PM	
39	900	10	1	02/03/23 03:45:30 PM	
40	900	5	1	02/03/23 03:45:31 PM	
41	900	5	1	02/03/23 03:45:32 PM	
42	900	10	1	02/03/23 03:45:33 PM	
43	900	11	1	02/03/23 03:45:34 PM	
44	900	9	1	02/03/23 03:45:36 PM	
45	900	11	1	02/03/23 03:45:37 PM	
46	900	10	1	02/03/23 03:45:38 PM	
47	900	11	1	02/03/23 03:45:39 PM	
48	900	10	1	02/03/23 03:45:40 PM	
49	900	5	1	02/03/23 03:45:41 PM	
50	900	14	1	02/03/23 03:45:42 PM	
51	900	9	1	02/03/23 03:45:43 PM	
52	900	13	1	02/03/23 03:45:44 PM	
53	900	11	1	02/03/23 03:45:46 PM	
54	900	14	1	02/03/23 03:45:47 PM	
55	900	8	1	02/03/23 03:45:48 PM	
56	900	8	1	02/03/23 03:45:49 PM	
57	900	13	1	02/03/23 03:45:50 PM	
58	900	11	1	02/03/23 03:45:51 PM	
59	900	12	1	02/03/23 03:45:52 PM	
