Description	
Number of Runs	1000
Preset Time	1
Pause Time	0
Alarm Level	0
High Voltage	900
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	900	0	1	02/03/23 02:54:32 PM	
2	900	0	1	02/03/23 02:54:34 PM	
3	900	3	1	02/03/23 02:54:35 PM	
4	900	0	1	02/03/23 02:54:36 PM	
5	900	0	1	02/03/23 02:54:37 PM	
6	900	2	1	02/03/23 02:54:38 PM	
7	900	0	1	02/03/23 02:54:39 PM	
8	900	1	1	02/03/23 02:54:40 PM	
9	900	0	1	02/03/23 02:54:41 PM	
10	900	0	1	02/03/23 02:54:43 PM	
11	900	0	1	02/03/23 02:54:44 PM	
12	900	1	1	02/03/23 02:54:45 PM	
13	900	0	1	02/03/23 02:54:46 PM	
14	900	1	1	02/03/23 02:54:47 PM	
15	900	0	1	02/03/23 02:54:48 PM	
16	900	1	1	02/03/23 02:54:49 PM	
17	900	1	1	02/03/23 02:54:50 PM	
18	900	1	1	02/03/23 02:54:52 PM	
19	900	1	1	02/03/23 02:54:53 PM	
20	900	0	1	02/03/23 02:54:54 PM	
21	900	1	1	02/03/23 02:54:55 PM	
22	900	0	1	02/03/23 02:54:56 PM	
23	900	0	1	02/03/23 02:54:57 PM	
24	900	1	1	02/03/23 02:54:58 PM	
25	900	0	1	02/03/23 02:54:59 PM	
26	900	0	1	02/03/23 02:55:01 PM	
27	900	1	1	02/03/23 02:55:02 PM	
28	900	0	1	02/03/23 02:55:03 PM	
29	900	0	1	02/03/23 02:55:04 PM	
30	900	0	1	02/03/23 02:55:05 PM	
31	900	0	1	02/03/23 02:55:06 PM	
32	900	0	1	02/03/23 02:55:07 PM	
33	900	0	1	02/03/23 02:55:08 PM	
34	900	0	1	02/03/23 02:55:09 PM	
35	900	1	1	02/03/23 02:55:11 PM	
36	900	0	1	02/03/23 02:55:12 PM	
37	900	1	1	02/03/23 02:55:13 PM	
38	900	0	1	02/03/23 02:55:14 PM	
39	900	1	1	02/03/23 02:55:15 PM	
40	900	2	1	02/03/23 02:55:16 PM	
41	900	0	1	02/03/23 02:55:17 PM	
42	900	0	1	02/03/23 02:55:19 PM	
43	900	0	1	02/03/23 02:55:20 PM	
44	900	1	1	02/03/23 02:55:21 PM	
45	900	2	1	02/03/23 02:55:22 PM	
46	900	1	1	02/03/23 02:55:23 PM	
47	900	0	1	02/03/23 02:55:24 PM	
48	900	0	1	02/03/23 02:55:25 PM	
49	900	0	1	02/03/23 02:55:26 PM	
50	900	0	1	02/03/23 02:55:27 PM	
51	900	1	1	02/03/23 02:55:29 PM	
52	900	0	1	02/03/23 02:55:30 PM	
53	900	0	1	02/03/23 02:55:31 PM	
54	900	0	1	02/03/23 02:55:32 PM	
55	900	0	1	02/03/23 02:55:33 PM	
56	900	1	1	02/03/23 02:55:34 PM	
57	900	0	1	02/03/23 02:55:35 PM	
58	900	0	1	02/03/23 02:55:36 PM	
59	900	0	1	02/03/23 02:55:38 PM	
60	900	0	1	02/03/23 02:55:39 PM	
61	900	1	1	02/03/23 02:55:40 PM	
62	900	0	1	02/03/23 02:55:41 PM	
63	900	0	1	02/03/23 02:55:42 PM	
64	900	0	1	02/03/23 02:55:43 PM	
65	900	0	1	02/03/23 02:55:44 PM	
66	900	1	1	02/03/23 02:55:45 PM	
67	900	0	1	02/03/23 02:55:46 PM	
68	900	1	1	02/03/23 02:55:47 PM	
69	900	0	1	02/03/23 02:55:49 PM	
70	900	0	1	02/03/23 02:55:50 PM	
71	900	0	1	02/03/23 02:55:51 PM	
72	900	0	1	02/03/23 02:55:52 PM	
73	900	1	1	02/03/23 02:55:53 PM	
74	900	0	1	02/03/23 02:55:54 PM	
75	900	0	1	02/03/23 02:55:55 PM	
76	900	3	1	02/03/23 02:55:56 PM	
77	900	1	1	02/03/23 02:55:57 PM	
78	900	0	1	02/03/23 02:55:59 PM	
79	900	0	1	02/03/23 02:56:00 PM	
80	900	0	1	02/03/23 02:56:01 PM	
81	900	0	1	02/03/23 02:56:02 PM	
