Description	
Number of Runs	1000
Preset Time	1
Pause Time	0
Alarm Level	0
High Voltage	900
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	900	0	1	02/03/23 03:21:03 PM	
2	900	0	1	02/03/23 03:21:04 PM	
3	900	1	1	02/03/23 03:21:05 PM	
4	900	0	1	02/03/23 03:21:06 PM	
5	900	0	1	02/03/23 03:21:07 PM	
6	900	1	1	02/03/23 03:21:08 PM	
7	900	1	1	02/03/23 03:21:09 PM	
8	900	1	1	02/03/23 03:21:11 PM	
9	900	2	1	02/03/23 03:21:12 PM	
10	900	1	1	02/03/23 03:21:13 PM	
11	900	1	1	02/03/23 03:21:14 PM	
12	900	0	1	02/03/23 03:21:15 PM	
13	900	0	1	02/03/23 03:21:16 PM	
14	900	1	1	02/03/23 03:21:17 PM	
15	900	3	1	02/03/23 03:21:18 PM	
16	900	4	1	02/03/23 03:21:20 PM	
17	900	0	1	02/03/23 03:21:21 PM	
18	900	0	1	02/03/23 03:21:22 PM	
19	900	1	1	02/03/23 03:21:23 PM	
20	900	1	1	02/03/23 03:21:24 PM	
21	900	0	1	02/03/23 03:21:25 PM	
22	900	0	1	02/03/23 03:21:26 PM	
23	900	1	1	02/03/23 03:21:27 PM	
24	900	2	1	02/03/23 03:21:28 PM	
25	900	0	1	02/03/23 03:21:30 PM	
26	900	0	1	02/03/23 03:21:31 PM	
27	900	0	1	02/03/23 03:21:32 PM	
28	900	1	1	02/03/23 03:21:33 PM	
29	900	1	1	02/03/23 03:21:34 PM	
30	900	0	1	02/03/23 03:21:35 PM	
31	900	1	1	02/03/23 03:21:36 PM	
32	900	1	1	02/03/23 03:21:38 PM	
33	900	0	1	02/03/23 03:21:39 PM	
34	900	1	1	02/03/23 03:21:40 PM	
35	900	0	1	02/03/23 03:21:41 PM	
36	900	0	1	02/03/23 03:21:42 PM	
37	900	2	1	02/03/23 03:21:43 PM	
38	900	2	1	02/03/23 03:21:44 PM	
39	900	2	1	02/03/23 03:21:45 PM	
40	900	0	1	02/03/23 03:21:46 PM	
41	900	0	1	02/03/23 03:21:48 PM	
42	900	1	1	02/03/23 03:21:49 PM	
43	900	0	1	02/03/23 03:21:50 PM	
44	900	0	1	02/03/23 03:21:51 PM	
45	900	0	1	02/03/23 03:21:52 PM	
46	900	1	1	02/03/23 03:21:53 PM	
47	900	0	1	02/03/23 03:21:54 PM	
48	900	2	1	02/03/23 03:21:55 PM	
49	900	0	1	02/03/23 03:21:57 PM	
50	900	1	1	02/03/23 03:21:58 PM	
51	900	0	1	02/03/23 03:21:59 PM	
52	900	1	1	02/03/23 03:22:00 PM	
53	900	4	1	02/03/23 03:22:01 PM	
54	900	1	1	02/03/23 03:22:02 PM	
55	900	1	1	02/03/23 03:22:03 PM	
56	900	1	1	02/03/23 03:22:05 PM	
57	900	0	1	02/03/23 03:22:06 PM	
58	900	1	1	02/03/23 03:22:07 PM	
59	900	3	1	02/03/23 03:22:08 PM	
