Description	
Number of Runs	1000
Preset Time	1
Pause Time	0
Alarm Level	0
High Voltage	900
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	900	13	1	02/03/23 04:24:59 PM	
2	900	7	1	02/03/23 04:25:00 PM	
3	900	10	1	02/03/23 04:25:01 PM	
4	900	4	1	02/03/23 04:25:02 PM	
5	900	11	1	02/03/23 04:25:03 PM	
6	900	10	1	02/03/23 04:25:05 PM	
7	900	8	1	02/03/23 04:25:06 PM	
8	900	15	1	02/03/23 04:25:07 PM	
9	900	5	1	02/03/23 04:25:08 PM	
10	900	14	1	02/03/23 04:25:09 PM	
11	900	7	1	02/03/23 04:25:10 PM	
12	900	13	1	02/03/23 04:25:11 PM	
13	900	8	1	02/03/23 04:25:13 PM	
14	900	12	1	02/03/23 04:25:14 PM	
15	900	7	1	02/03/23 04:25:15 PM	
16	900	5	1	02/03/23 04:25:16 PM	
17	900	7	1	02/03/23 04:25:17 PM	
18	900	10	1	02/03/23 04:25:18 PM	
19	900	8	1	02/03/23 04:25:19 PM	
20	900	12	1	02/03/23 04:25:20 PM	
21	900	9	1	02/03/23 04:25:22 PM	
22	900	12	1	02/03/23 04:25:23 PM	
23	900	10	1	02/03/23 04:25:24 PM	
24	900	12	1	02/03/23 04:25:25 PM	
25	900	8	1	02/03/23 04:25:26 PM	
26	900	6	1	02/03/23 04:25:27 PM	
27	900	5	1	02/03/23 04:25:28 PM	
28	900	9	1	02/03/23 04:25:30 PM	
29	900	10	1	02/03/23 04:25:31 PM	
30	900	9	1	02/03/23 04:25:32 PM	
31	900	9	1	02/03/23 04:25:33 PM	
32	900	10	1	02/03/23 04:25:34 PM	
33	900	11	1	02/03/23 04:25:35 PM	
34	900	7	1	02/03/23 04:25:36 PM	
35	900	5	1	02/03/23 04:25:38 PM	
36	900	9	1	02/03/23 04:25:39 PM	
37	900	6	1	02/03/23 04:25:40 PM	
38	900	12	1	02/03/23 04:25:41 PM	
39	900	9	1	02/03/23 04:25:42 PM	
40	900	7	1	02/03/23 04:25:43 PM	
41	900	10	1	02/03/23 04:25:44 PM	
42	900	11	1	02/03/23 04:25:45 PM	
43	900	7	1	02/03/23 04:25:47 PM	
44	900	9	1	02/03/23 04:25:48 PM	
45	900	10	1	02/03/23 04:25:49 PM	
46	900	12	1	02/03/23 04:25:50 PM	
47	900	7	1	02/03/23 04:25:51 PM	
48	900	9	1	02/03/23 04:25:52 PM	
49	900	7	1	02/03/23 04:25:53 PM	
50	900	12	1	02/03/23 04:25:54 PM	
51	900	7	1	02/03/23 04:25:55 PM	
52	900	8	1	02/03/23 04:25:57 PM	
53	900	8	1	02/03/23 04:25:58 PM	
54	900	12	1	02/03/23 04:25:59 PM	
55	900	6	1	02/03/23 04:26:00 PM	
56	900	8	1	02/03/23 04:26:01 PM	
57	900	14	1	02/03/23 04:26:02 PM	
58	900	12	1	02/03/23 04:26:03 PM	
59	900	6	1	02/03/23 04:26:04 PM	
60	900	10	1	02/03/23 04:26:05 PM	
61	900	6	1	02/03/23 04:26:07 PM	
62	900	8	1	02/03/23 04:26:08 PM	
63	900	7	1	02/03/23 04:26:09 PM	
64	900	7	1	02/03/23 04:26:10 PM	
65	900	8	1	02/03/23 04:26:11 PM	
66	900	7	1	02/03/23 04:26:12 PM	
67	900	7	1	02/03/23 04:26:13 PM	
