#Table1
modelMag_u,modelMag_g,modelMag_r
21.25986,18.43782,16.97818
20.96045,18.63006,17.19968
21.61695,18.96464,17.68135
19.8905,18.26845,17.65696
20.75185,18.20312,16.76905
19.83447,18.48518,17.94053
19.4808,18.44912,18.03909
19.46722,18.42792,17.98988
19.54216,18.08123,17.50633
19.52895,18.62057,18.29234
19.67887,18.29355,17.79651
20.5745,18.03381,16.65754
20.87502,18.42071,17.34427
19.5578,18.56806,18.27565
20.41031,18.69398,17.97589
21.14754,18.4879,17.13645
20.2464,18.56224,17.88164
20.7529,18.23615,17.01095
24.63465,18.50426,17.3729
20.9064,18.30804,16.85348
20.22934,18.60636,17.93597
20.17986,18.81343,18.28024
21.10612,18.75627,17.65559
20.18496,18.15429,17.3341
19.48065,18.53749,18.18584
19.31594,18.3767,18.07209
21.03568,18.51677,17.48161
21.14483,18.76514,17.60329
21.30615,18.8353,17.68666
19.34082,18.08663,17.63431
19.65634,18.68545,18.2558
19.73898,18.83209,18.55058
19.38632,18.97365,18.88805
21.9064,18.89049,17.57085
19.97647,18.67363,18.09444
20.17326,18.43692,17.71881
21.37556,18.88608,17.83554
19.98641,18.4049,17.81674
19.89758,18.10856,17.30852
19.85584,18.11859,17.50334
19.93431,18.2838,17.65194
19.97541,18.35139,17.70781
20.05621,18.29986,17.62992
21.46606,18.48392,17.0588
19.58895,18.16185,17.57211
20.8446,18.1963,16.85153
21.33641,18.718,17.23209
21.05027,18.50512,17.42571
21.80114,18.95844,17.76423
20.57423,18.35865,17.51773
21.20957,18.61578,17.48893
19.12156,18.01479,17.64991
20.60488,18.88174,18.17476
18.6714,18.51005,18.91954
21.24848,18.82156,17.47007
19.91155,18.0078,17.23687
20.48947,18.10391,16.82175
19.41256,18.28759,25.57689
20.35301,18.5907,17.87014
21.24921,18.71792,17.61127
20.45282,18.79409,18.08409
21.03152,18.47256,17.0037
20.83735,18.11444,16.81308
20.68509,18.17032,16.90442
19.17854,18.23757,17.87414
19.48846,18.54517,18.1862
21.1512,18.74482,17.60712
19.48585,18.4002,18.05511
20.30024,18.86375,18.29149
21.943,18.78864,17.40049
19.59272,18.60935,18.35038
20.62706,18.06629,16.63396
21.41569,18.93907,17.81646
19.82578,18.60524,18.09051
21.38391,18.71323,17.52987
20.61506,18.23629,17.00414
20.54872,18.4407,17.54012
20.04748,18.41615,17.78876
20.58371,18.48072,17.74622
21.46983,18.89432,17.54881
20.70148,18.43183,17.46056
20.15236,18.61851,18.01341
20.46541,18.35217,17.50513
19.81485,18.3327,17.79528
18.85922,18.81129,18.72851
21.42937,18.91411,17.50222
21.74277,18.91864,17.55925
20.00874,18.97392,18.73768
19.91272,18.55713,18.03195
19.75579,18.74257,18.43354
19.56647,18.53455,18.07101
19.76022,18.6769,18.33798
21.27447,18.85202,17.49249
20.84906,18.36033,17.07237
20.6489,18.25416,16.86209
19.80385,18.35007,17.79858
21.20705,18.59772,17.1619
19.64732,18.26228,17.74865
19.76763,18.86461,18.58789
20.13647,18.83902,18.36792
19.58565,18.6624,18.22722
21.34996,18.69825,17.2317
20.68249,18.7812,17.89257
19.57503,18.55734,18.10192
20.36647,18.74888,17.42
19.3091,18.92608,18.93011
19.22646,18.28929,17.95436
19.61727,18.27577,17.76151
19.94209,18.68359,18.20807
19.74175,18.45783,17.94487
21.61126,18.61174,17.19293
19.21819,18.30193,17.99288
20.59008,18.47585,17.50161
21.53713,18.9516,17.75562
20.50588,18.167,17.20339
19.79869,18.83686,18.43787
21.38144,18.90682,17.47881
19.30703,18.41562,18.09404
21.38987,18.72202,17.23308
21.27066,18.80944,17.64921
20.1672,18.28506,17.5049
21.0456,18.73115,17.76204
20.7002,18.46967,17.28227
18.38149,18.28071,17.93976
20.94666,18.58102,17.52155
19.08414,18.15285,17.79035
19.94306,18.73647,18.29977
20.11174,18.04059,17.23685
19.6313,18.42072,18.02543
21.69658,18.73275,17.30905
21.45665,18.88783,17.47152
19.95063,18.12256,17.40385
19.15048,18.16073,18.06805
19.92504,18.63825,18.17876
20.17242,18.84406,18.31922
20.85682,18.8051,17.92434
19.39204,18.38067,17.97594
20.06421,18.76862,18.27943
21.35353,18.86322,17.71378
19.63107,18.74605,18.38166
19.93776,18.26149,17.66683
21.20732,18.61025,17.16838
20.44495,18.06145,16.69307
20.864,18.2845,17.16822
20.83756,18.52378,17.54424
19.17695,18.77285,18.71435
21.37581,18.92393,17.45813
21.46689,18.94247,17.5334
19.73644,18.76085,18.39973
19.88936,18.12904,17.40968
19.58799,18.44191,17.96624
20.64199,18.08339,16.69036
19.41256,18.41698,17.99287
20.1855,18.71147,18.12784
19.16914,18.17675,17.81399
20.35049,18.09882,17.13461
21.50996,18.7406,17.40591
21.37371,18.96392,17.91895
20.13499,18.36692,17.70451
20.29803,18.82617,18.27756
20.7883,18.27512,16.84358
21.26632,18.86328,17.42155
20.77114,18.70066,17.83642
20.45722,18.21455,17.25623
20.79748,18.29401,16.88013
20.89763,18.35603,17.12681
19.71102,18.43881,17.95638
19.53658,18.64315,18.31698
19.86021,18.25351,17.56026
21.45606,18.88465,17.52291
20.05193,18.94332,18.44525
19.28539,18.23055,17.91286
19.36168,18.0822,17.62717
19.98172,18.35596,17.67415
20.033,18.34872,17.57219
19.40622,18.12889,17.63824
19.21786,18.33487,18.04404
21.96308,18.93854,17.56915
20.92209,18.19805,16.77598
19.6849,18.16026,17.64333
19.22499,18.11464,17.63594
19.85753,18.73399,18.23092
19.3299,18.17095,17.67459
20.48672,18.2522,17.25143
19.97675,18.0239,17.13236
20.83927,18.36154,16.9636
20.19724,18.82787,18.32005
21.00215,18.57288,17.32748
19.47075,18.46366,18.0733
21.05058,18.56972,17.13822
19.41347,18.4086,17.98917
19.63031,18.58073,18.32493
19.82149,18.03628,17.29916
20.82,18.34879,16.95942
21.49766,18.93131,17.49229
20.14638,18.12229,17.28363
20.65502,18.09973,16.68024
20.01969,18.86645,18.26017
19.32642,18.21801,17.78526
20.20335,18.94163,18.41455
20.16023,18.70447,18.16618
20.1642,18.38232,17.72546
19.56204,18.55015,18.15033
20.24013,18.62675,17.96906
19.90178,18.58829,18.07578
19.97847,18.30844,17.61788
21.23413,18.52817,17.08957
19.33104,18.51269,17.18381
21.16611,18.80891,17.76436
20.41364,18.54057,17.90174
21.27651,18.72439,17.50503
20.8848,18.24852,16.8438
20.60639,18.58113,17.71887
21.63893,18.85029,17.44994
21.55336,18.87857,17.68822
20.2696,18.62486,17.94188
19.67137,18.51571,18.01187
20.68846,18.49168,17.52252
19.87981,18.90313,18.6643
19.91099,18.97183,18.63631
24.63464,18.37829,16.93151
20.77822,18.64903,17.7638
19.82056,18.88384,18.66105
20.20919,18.47511,17.78785
20.14644,18.0288,17.03296
20.55761,18.25007,16.79929
19.30043,18.29111,17.98741
20.97029,18.22055,16.90755
21.30499,18.98019,17.92243
20.66255,18.09193,16.64123
19.33746,18.39647,18.05789
21.25331,18.39919,17.02894
21.16781,18.67093,17.65816
20.72817,18.77424,17.87825
19.41286,18.07442,17.50958
20.75796,18.54888,17.52807
20.7918,18.12944,16.71523
21.57941,18.65099,17.33899
20.35992,18.00343,17.05908
20.64619,18.12482,16.97377
19.5214,18.50748,18.1934
19.61937,18.00043,17.3636
19.64236,18.73481,18.42854
19.29806,18.28178,17.91518
20.10126,18.78657,18.20226
21.44958,18.79065,17.34859
19.87826,18.74613,18.20903
21.28457,18.74027,17.55551
20.56369,18.05903,16.64527
19.13037,18.11755,17.81484
21.08355,18.35476,16.91164
21.27593,18.81562,17.50751
19.11234,18.06804,17.63926
20.05183,18.79863,18.34363
20.3538,18.4437,17.74678
21.23005,18.64716,17.29665
21.33754,18.94889,17.50479
20.85783,18.43596,16.96122
21.26903,18.89944,17.5135
20.49978,18.10619,16.60022
20.3304,18.11648,17.07311
20.12157,18.95539,18.58206
21.1055,18.57392,17.28121
20.97538,18.40482,17.0575
21.06068,18.60095,17.56253
20.64087,18.43609,17.52308
19.68441,18.751,18.41577
21.46321,18.82571,17.37737
19.20616,18.24525,17.89961
21.50825,18.93329,17.89539
20.15169,18.67365,17.9942
19.21736,18.32928,18.03058
20.14031,18.36835,17.66157
19.45767,18.06549,17.45937
19.65432,18.38929,17.87349
20.78786,18.13547,16.98298
20.16283,18.00954,17.06479
20.91431,18.29512,16.84565
19.25354,18.27777,17.88058
20.21505,18.39164,17.61586
21.22557,18.59721,17.35515
21.06643,18.86262,17.99305
19.10075,18.03758,17.73372
21.55894,18.8422,17.39331
19.42743,18.57685,18.32015
21.3131,18.86778,17.47949
19.8965,18.82964,18.49238
19.46162,18.23661,17.6249
19.30936,18.19901,17.71571
20.59435,18.83984,18.13868
20.4922,18.08735,16.8285
20.94551,18.81888,17.95857
19.944,18.27645,17.53015
19.79008,18.87813,18.57806
20.82637,18.96815,18.09561
19.46161,18.45146,18.05423
20.76513,18.63692,17.74069
20.37454,18.092,17.08004
21.07821,18.84163,17.53564
19.63483,18.70842,18.36754
20.15675,18.43009,17.74043
19.93612,18.95392,18.55416
20.87835,18.16343,16.74405
19.8909,18.21266,17.58068
20.23565,18.85616,18.2414
19.22433,18.04109,17.59414
19.89428,18.53911,18.03699
20.63977,18.42941,17.29358
21.38871,18.83936,17.46709
21.35637,18.96803,17.42943
19.5049,18.59023,18.25994
21.65098,18.9396,17.6818
21.56457,18.75046,17.68903
20.55046,18.30393,17.38096
19.12355,18.15327,17.85113
21.4093,18.86515,17.64815
21.58408,18.99872,17.69706
24.63465,18.89095,17.85542
21.38029,18.89606,17.41109
21.10582,18.74493,17.35222
20.577,18.98948,18.33626
19.62666,18.23515,17.68989
20.34565,18.1652,17.13308
20.8231,18.12861,16.63901
20.78134,18.08803,16.71796
21.30959,18.46159,17.03096
19.31294,18.13656,17.75791
19.99043,18.4455,17.84065
20.88439,18.49505,17.40064
20.75254,18.86687,18.14131
20.63925,18.63752,17.75697
20.48997,18.24304,17.24285
20.13545,18.36554,17.58064
21.18396,18.5132,17.12994
19.7681,18.47088,17.91696
20.88335,18.25708,16.9779
19.07733,18.09667,17.78369
20.39412,18.69478,17.97491
20.13946,18.80855,18.22253
21.01686,18.3776,16.96945
21.36169,18.83213,17.37959
21.23769,18.55789,17.16705
19.34655,18.10772,17.6504
19.22433,18.19106,17.84167
21.27444,18.877,17.8545
20.07575,18.81285,18.28628
19.5633,18.04311,17.44237
19.36294,18.35927,18.0649
19.85909,18.47919,17.97957
19.13081,18.05123,17.67898
20.10428,18.86096,18.38212
21.5391,18.83486,17.4505
19.34091,18.41544,18.03044
20.05207,18.65287,18.14626
20.60108,18.17139,17.0969
19.7479,18.47636,18.0153
20.35166,18.85043,18.24151
19.63797,18.41818,17.95582
19.45619,18.54433,18.22091
20.82757,18.85475,18.0119
19.43952,18.61997,18.25315
21.12495,18.55773,17.1208
19.57742,18.63952,18.3178
20.11794,18.02924,17.16644
19.62809,18.60081,18.26744
20.43972,18.09513,16.99565
21.01288,18.99944,18.16837
20.42891,18.60749,17.88417
19.59461,18.09722,17.49064
20.11659,18.62025,18.04593
20.35992,18.80751,18.28422
20.99965,18.73078,17.69721
19.46781,18.2292,17.78707
20.66998,18.4642,17.45371
20.73154,18.39706,17.21737
21.29702,18.97266,17.54694
21.00293,18.55648,17.44161
18.93451,18.73999,18.7443
19.81048,18.93986,18.65556
20.16059,18.14765,17.3147
19.22885,18.24243,18.01897
20.89745,18.64095,17.65033
21.36216,18.75913,17.32969
20.24993,18.39199,17.67751
20.94975,18.7503,17.38228
20.85887,18.70508,17.7226
21.55527,18.97037,17.76586
20.83158,18.26039,16.84617
19.417,18.15049,18.26098
19.98835,18.55638,18.02393
21.65668,18.80647,17.26032
20.56845,18.47193,17.60001
19.96693,18.636,18.06066
20.13159,18.6822,18.12674
21.20218,18.98718,17.99574
19.3244,18.31264,17.98747
20.27946,18.46107,17.78438
20.39408,18.39468,17.55778
21.2541,18.96522,17.93643
21.35647,18.83871,17.52876
21.21459,18.79555,17.33552
19.21504,18.3376,18.05719
19.70797,18.47304,18.05887
19.72355,18.5897,18.09539
20.96144,18.68016,17.57155
19.77237,18.7334,18.39438
20.98769,18.5688,17.32698
19.46691,18.53362,18.18802
20.82429,18.93979,18.1778
20.25876,18.36775,17.54926
20.88543,18.36737,17.06461
21.20125,18.56852,17.19015
20.531,18.00849,16.58576
20.41465,18.74885,18.09263
21.68051,18.98253,17.56094
21.44943,18.68108,17.49813
19.50566,18.6187,18.32742
20.85776,18.49192,17.45422
22.35903,18.8932,17.46247
20.64484,18.88077,18.17186
21.26595,18.77889,17.6545
19.83998,18.9028,18.59411
19.14805,18.00784,17.60167
19.18064,18.16842,17.80697
19.71185,18.8368,18.48889
21.15045,18.6875,17.22263
20.06119,18.23809,17.52901
20.67546,18.37499,17.0173
21.42549,18.89347,17.43185
19.54454,18.12273,17.59146
20.29873,18.78343,18.23558
19.17781,18.24013,17.94698
20.49071,18.00365,16.59954
21.24677,18.75578,17.6962
19.24973,18.39857,18.15746
19.63765,18.75695,18.43209
19.94993,18.99134,18.69667
20.32548,18.03719,17.11058
19.3723,18.49408,18.23621
19.81959,18.82368,18.52746
21.77201,18.91405,17.76333
19.69996,18.57514,18.27056
