#Table1
ra,dec,z
122.60374,22.494784,0.001000052
167.84081,18.722528,0.001000079
170.8532,-7.801939,0.001000139
174.90569,0.33292269,0.001000171
120.97408,23.18182,0.001000187
153.32693,15.532054,0.001000319
140.76778,17.505793,0.001000396
153.48045,21.276243,0.001000434
135.32417,2.8450585,0.001000458
163.02954,0.70705541,0.001000458
165.17227,2.5494413,0.001000481
124.81063,14.336729,0.001000573
173.93278,11.708069,0.001000627
172.86073,0.07632,0.001000748
139.09954,7.4133451,0.001000794
148.99688,6.3492075,0.001000847
186.71979,53.105337,0.001000904
188.36284,0.17595426,0.001000906
156.26439,17.634958,0.001001153
135.63078,0.84510066,0.001001181
147.91261,23.415194,0.001001208
126.37635,23.95066,0.00100121
156.78838,7.640127,0.001001237
136.06857,1.1866827,0.001001283
162.01204,0.92256427,0.001001312
173.0595,-1.0989523,0.001001344
155.36186,8.502127,0.001001356
166.47974,18.672357,0.00100136
55.864708,-7.5342419,0.001001392
194.44452,9.729758,0.001001396
176.75453,6.9536765,0.001001398
162.02896,28.3955,0.001001449
113.0338,14.785479,0.00100147
152.46372,4.7511468,0.001001496
160.23199,-2.873899,0.00100157
212.05759,-2.7099171,0.001001583
137.18464,4.3041204,0.001001589
117.07303,36.009566,0.001001604
169.28072,12.468175,0.001001666
132.63692,14.470843,0.001001679
150.09672,27.064987,0.001001756
169.04808,-12.935878,0.001001782
175.55465,-2.958051,0.001001802
187.02608,-1.2324378,0.001001825
119.81183,17.031163,0.001002049
113.76798,42.135307,0.001002135
148.73672,15.825239,0.001002188
144.71536,15.195769,0.001002259
160.77262,-0.65473924,0.001002315
144.01284,-1.0400355,0.001002337
71.707376,-6.206876,0.001002406
206.07248,16.562087,0.001002426
161.37307,0.80069972,0.001002435
118.34686,12.624618,0.00100244
37.662179,-2.9887084,0.001002473
154.88924,30.798236,0.001002509
138.62294,33.669691,0.001002548
42.719293,-1.2237666,0.001002553
179.36598,-2.7616897,0.001002661
113.83834,42.649979,0.001002795
124.1903,0.046598,0.001002847
178.95614,13.68709,0.001002864
194.9196,32.369841,0.001002946
184.06402,14.242142,0.001002967
141.20585,19.163155,0.001002974
121.354,40.927832,0.001003011
170.4824,14.546309,0.001003018
174.63782,0.494012,0.001003042
24.232946,24.429438,0.001003044
157.40955,7.7071504,0.001003077
169.49341,-0.3620421,0.001003232
152.65076,19.817244,0.001003438
135.5318,1.320453,0.001003553
176.7642,-0.88209132,0.001003602
138.79972,2.7653646,0.001003621
144.10661,7.5229329,0.001003633
123.04887,-6.989986,0.001003666
188.99529,0.80732284,0.001003715
127.81124,15.86438,0.001003732
142.5479,57.22442,0.001003902
182.80885,1.4026228,0.001003905
210.91937,54.496481,0.001003966
127.38327,-0.834416,0.001004029
120.41385,24.986048,0.001004049
167.80149,-16.899392,0.001004071
168.236,9.030983,0.001004107
49.44202,0.058874,0.001004173
158.2291,20.980983,0.001004241
135.09648,1.9603132,0.001004275
158.55585,6.7074353,0.001004281
184.76668,47.148043,0.001004525
185.33295,2.2262759,0.001004571
220.44807,1.0752762,0.001004634
131.93089,2.9422741,0.001004649
163.26211,11.720971,0.001004708
168.97485,-11.468639,0.001004725
173.10746,-7.383625,0.001004732
134.14087,8.4838455,0.001004755
162.25206,0.304348,0.001004764
168.27003,18.516232,0.001004858
180.93219,-0.40951917,0.001004868
186.88535,1.3280076,0.001004874
128.40917,3.5540284,0.001004895
168.51232,-15.781952,0.001004939
61.449129,-6.2049519,0.001005032
140.38153,3.3092468,0.001005056
118.18823,32.417395,0.0010051
139.52535,12.809132,0.001005169
351.22243,53.602255,0.001005294
133.07286,5.766488,0.001005334
184.85785,13.3109,0.00100537
175.97751,0.77974392,0.001005375
152.85832,20.234986,0.001005377
187.35574,-0.095429,0.001005411
127.71954,15.493818,0.001005448
157.4094,18.253604,0.001005489
154.72658,18.144638,0.0010056
166.76582,3.6068141,0.001005637
121.74306,6.23534,0.00100567
172.87251,-7.463884,0.001005845
141.45066,1.024734,0.001005847
142.65354,32.48196,0.001005867
155.05175,11.201255,0.001005922
117.39202,18.690644,0.001005954
120.47464,13.642959,0.001005991
161.99726,-1.08842,0.001006002
154.8044,28.381504,0.001006013
182.36111,12.48648,0.001006026
144.88348,30.230762,0.00100603
155.67409,12.394756,0.001006142
193.75534,-2.6883273,0.001006144
155.83116,27.946923,0.001006167
170.12167,16.000563,0.00100617
226.88435,-2.2322551,0.001006197
151.50833,26.467751,0.001006224
160.4654,-2.6444143,0.001006243
146.22777,32.114621,0.001006348
146.49074,2.0055339,0.001006399
168.80554,10.059248,0.001006437
346.49864,3.5641854,0.001006496
139.29168,20.899069,0.00100662
157.27181,-0.47669001,0.001006672
161.20875,12.655779,0.001006746
160.59398,0.325499,0.001006812
160.33307,3.2783936,0.00100684
135.39274,21.02292,0.001006891
179.90738,11.908979,0.001006927
124.5084,10.607588,0.001006927
184.04638,-0.74353572,0.001006944
171.37522,-0.21324327,0.001006982
172.79014,0.014694,0.001007027
39.647382,1.1415212,0.001007027
153.09459,5.0994474,0.001007067
146.91957,4.7826457,0.001007179
182.56738,14.9725,0.001007183
188.19931,-2.5359698,0.001007262
145.19982,5.1782711,0.001007301
236.44888,44.475095,0.001007398
125.17894,0.664837,0.00100749
184.49309,37.053243,0.001007506
162.44418,1.010665,0.001007532
168.51841,10.169617,0.001007536
143.05181,0.27050008,0.001007549
155.66637,16.77042,0.001007567
151.24946,42.188515,0.001007572
151.19136,8.6495596,0.001007668
153.94083,9.8404811,0.001007755
143.96249,2.5764546,0.001007834
173.33075,-1.5573633,0.001007884
211.52408,38.646831,0.001007887
126.96105,1.3330063,0.00100798
160.99959,22.697376,0.001007997
143.53269,16.226938,0.001008035
132.58677,-0.079033366,0.001008036
