#Table1
ra,z
172.86073,0.001000748
124.1903,0.001002847
49.44202,0.001004173
187.35574,0.001005411
172.79014,0.001007027
132.58677,0.001008036
173.69948,0.00100854
151.39543,0.001010375
180.15324,0.001011884
123.4205,0.001013756
190.64176,0.001014334
17.497958,0.00101729
162.57763,0.001018646
141.16028,0.001018933
118.54022,0.001020459
36.144309,0.001022261
53.794334,0.001024507
50.210392,0.001026626
135.23293,0.001028355
139.72939,0.001029584
40.636522,0.001031365
190.90674,0.001035325
163.52962,0.00103549
142.43455,0.001038666
161.32677,0.001044085
316.28562,0.001044121
326.12631,0.001044668
162.54933,0.001053308
192.71541,0.001056441
138.81686,0.001057038
1.7129092,0.001058274
189.32175,0.001058867
163.75158,0.001062651
161.77254,0.00106304
56.39399,0.001064259
174.93599,0.001064535
172.19577,0.001067429
173.1059,0.00107496
191.24253,0.001077842
173.45145,0.001083122
155.39268,0.001087172
163.29783,0.001087519
203.26105,0.001088749
179.63991,0.001091852
193.52739,0.001097996
160.90561,0.001103032
161.99071,0.001117882
171.00971,0.001121887
51.928709,0.001121911
52.771374,0.001123992
133.78617,0.001126187
133.87944,0.001126998
343.4747,0.001129598
136.71772,0.00113041
170.88744,0.00114699
173.00056,0.00114737
134.58769,0.001159554
133.54893,0.001174656
174.0914,0.001178778
188.1009,0.001180452
172.47452,0.001180864
139.2155,0.001194302
161.34431,0.001197876
124.17955,0.001202296
139.51494,0.001204413
43.150846,0.001207322
141.43786,0.001213108
159.34827,0.001219335
152.28865,0.001223739
125.89442,0.00123013
162.65856,0.001232998
178.41892,0.00123439
341.65899,0.00124064
159.96012,0.001243089
148.4385,0.00124503
125.12698,0.001247445
222.21972,0.001251879
172.80035,0.001255013
145.33701,0.001258554
190.03636,0.001259581
313.48058,0.001262564
181.46815,0.001266166
171.65598,0.001267052
180.55588,0.001267801
210.2798,0.001273695
147.69873,0.001274595
148.94821,0.001286286
182.98307,0.001289111
151.9939,0.001295174
118.74652,0.001306739
188.10412,0.001307905
175.93953,0.001309574
125.51067,0.001316035
179.05538,0.001318323
148.24807,0.001336749
47.007911,0.001347051
139.99496,0.00135439
123.31615,0.001361116
72.283097,0.001365353
173.2747,0.001387573
151.30773,0.00138932
162.4264,0.001392519
130.13719,0.001392727
124.86746,0.001408244
161.19217,0.001413514
129.22697,0.001427707
171.33593,0.001432615
318.32454,0.00144482
55.527566,0.001482179
149.36722,0.001491664
122.73971,0.0014938
4.0733596,0.001497524
156.85332,0.00152881
161.9972,0.001548155
149.77698,0.001564409
126.81705,0.001598419
164.48529,0.001718092
21.447188,0.001722296
229.07554,0.001731986
129.15481,0.001957184
169.1685,0.001960688
335.10473,0.001964212
36.415917,0.001964681
245.75391,0.002096225
325.29078,0.002147949
340.66455,0.0021648
167.60177,0.002185354
34.579798,0.002195146
41.94283,0.002196783
83.73343,0.002196913
40.316502,0.002201251
235.09925,0.00220578
11.263329,0.002206713
3.15520900000001,0.002213837
34.760198,0.002394849
56.774445,0.002402155
18.622405,0.002411488
318.85285,0.002415894
191.33626,0.002449172
175.62718,0.002653279
206.88381,0.002662946
35.612171,0.002663675
345.10414,0.002859252
335.41947,0.002866827
35.543783,0.00288307
16.478212,0.002883838
333.47806,0.002886715
340.55333,0.002888886
138.3436,0.002890412
34.651372,0.002892032
38.350566,0.003021534
12.975509,0.003097773
9.45674860000003,0.003108135
321.53967,0.003112382
50.118942,0.003118639
48.041974,0.003118751
193.52145,0.003188187
42.795327,0.003191424
35.314567,0.003336351
58.018242,0.003351999
52.190085,0.003359209
27.510795,0.003418062
40.67609,0.003466341
47.935217,0.003501904
52.27795,0.003567042
187.67132,0.0035841
40.50152,0.003623643
39.176459,0.00370837
178.55114,0.003787203
17.51515,0.003789232
39.17348,0.003793943
56.475483,0.003798772
323.76381,0.003821578
44.811626,0.003821627
40.663243,0.003832948
21.489121,0.003846915
195.24222,0.003921918
40.728502,0.003936847
195.24442,0.003970908
40.210378,0.003996259
311.73816,0.004028693
145.88327,0.004029527
328.30508,0.004034148
352.52502,0.004036066
334.02249,0.004036725
354.89164,0.004037044
35.923163,0.004037268
341.20038,0.004088792
188.1525,0.004153253
16.831238,0.004153253
182.22232,0.004153254
40.667412,0.004194915
40.6661,0.004207654
193.80272,0.004402257
337.0262,0.00472043
242.43318,0.005018893
190.61562,0.005102077
217.39419,0.005175699
42.717486,0.005269419
337.65332,0.005272734
42.716717,0.005292953
226.67071,0.00554662
219.92758,0.005732589
163.20268,0.006033491
149.62607,0.006497472
10.926066,0.006527833
20.522977,0.007569477
41.684632,0.007632684
358.65542,0.007738721
183.06137,0.007831382
160.73099,0.007884246
187.4952,0.008045804
48.066091,0.008211982
353.32967,0.008500143
352.75862,0.008509257
352.75772,0.008636777
357.83144,0.008868058
194.9244,0.00889376
351.08476,0.008911389
351.08887,0.008917743
43.589278,0.00895156
45.167449,0.009483084
330.77243,0.009986921
130.48618,0.01016996
189.97961,0.01017225
25.805677,0.01054868
344.72262,0.01057134
344.54493,0.01197134
311.5677,0.01197873
29.539122,0.01207241
20.098114,0.01215358
311.77318,0.01228289
205.13242,0.01237381
20.337055,0.01250974
189.52228,0.01251297
20.338844,0.01265891
167.35544,0.01281893
176.3596,0.01313747
10.349474,0.01330698
10.346346,0.01338809
44.825917,0.01361935
312.86012,0.01364081
10.866002,0.01391725
43.729733,0.01411167
331.53809,0.0141829
10.867538,0.01418644
43.731445,0.01423336
10.018823,0.01431353
43.52206,0.01431492
10.871221,0.01432741
38.385784,0.01447768
160.68677,0.01494482
208.42469,0.01498338
208.15357,0.01501523
327.52631,0.01510953
321.05356,0.01516417
357.45717,0.01528244
319.0445,0.01531562
208.1863,0.01534851
341.76795,0.01559549
19.265125,0.0156138
347.32411,0.01574833
341.76692,0.01584016
190.40032,0.01588324
342.00744,0.01601329
28.862053,0.01604228
190.27275,0.01605873
319.97836,0.01616489
343.26315,0.01626121
22.541115,0.01628404
342.01338,0.01629657
31.557135,0.016369
143.6542,0.01636972
24.404718,0.01640047
34.770121,0.01660244
143.64388,0.01662895
341.19523,0.01667217
158.93193,0.01676873
21.415682,0.01691116
352.84695,0.01692709
352.64269,0.01706123
21.413992,0.01707689
149.91735,0.01708713
352.63888,0.01713702
18.631735,0.01714883
17.009105,0.0171536
18.424277,0.01717983
202.55983,0.01719038
23.902541,0.01721182
352.63347,0.01721309
23.902726,0.01727031
202.12022,0.01730313
21.079942,0.0173114
19.820843,0.01731927
23.906224,0.01731985
17.092943,0.01734665
141.48566,0.01734795
21.277905,0.01737492
202.15632,0.01738028
213.07914,0.01745718
19.768422,0.01747985
16.059305,0.0174844
175.34227,0.01751967
353.80445,0.01758036
353.80758,0.01764102
18.421387,0.01765011
353.81345,0.01765373
19.972182,0.01770948
22.320289,0.01773863
353.80785,0.01775877
353.80742,0.01775879
28.764892,0.01790975
10.538531,0.01795108
28.765117,0.01795866
18.6929,0.0179635
27.127436,0.01802043
352.46645,0.01803085
16.961724,0.01813389
329.50961,0.01813955
16.639594,0.01818491
3.482416,0.01828633
20.973364,0.01831419
16.037019,0.01843147
27.918532,0.01843434
21.654148,0.01846015
10.885793,0.01849752
28.671009,0.01851283
21.732071,0.01853721
20.032239,0.01857551
136.40775,0.01863889
159.85536,0.01864479
136.73103,0.01864563
28.668512,0.01870809
136.73745,0.01883099
30.754473,0.01886606
9.944172,0.01890082
28.651732,0.01892416
22.156016,0.01893702
164.88282,0.01899364
30.288859,0.01900466
20.034603,0.01902029
136.33632,0.0190497
159.60626,0.01908475
177.15742,0.01914357
29.649048,0.01917994
52.430953,0.01923597
169.73164,0.01923702
30.553346,0.01931388
29.797312,0.01931902
30.538208,0.01933043
28.311802,0.01938534
30.551411,0.01940267
43.176291,0.01941559
30.541411,0.01941764
31.944989,0.01944123
28.565431,0.01948971
320.20438,0.01949662
10.112071,0.01950521
29.798135,0.01951145
173.90552,0.01954467
30.548527,0.0196057
174.87368,0.01963082
28.507155,0.01967137
20.66373,0.01975446
31.325972,0.01978161
30.549366,0.01987382
30.548174,0.01992835
37.413645,0.02019463
16.766364,0.02020613
37.907162,0.02041465
180.27077,0.02066828
34.128142,0.02083141
181.78158,0.02087438
50.499526,0.02093619
183.5165,0.02094281
183.36183,0.0209665
21.371383,0.02097015
183.25125,0.02097693
50.9113,0.02102189
155.57384,0.02122095
37.043383,0.02124965
159.30949,0.02126185
184.62744,0.02129653
38.132657,0.02131622
202.26346,0.02142574
151.22075,0.02147727
51.09161,0.02156839
146.28301,0.0215799
146.23184,0.02160817
51.092271,0.02163292
181.38327,0.02165059
51.094178,0.02165331
203.13643,0.02165666
151.80956,0.02166339
51.083435,0.02169017
146.32316,0.02170876
50.63661,0.02174366
146.30086,0.021758
358.05609,0.02181506
358.05615,0.0218475
52.616693,0.02186799
151.079,0.02187334
358.46884,0.0219618
356.09245,0.02215231
49.333445,0.02221469
358.9037,0.02226555
49.334446,0.0222809
358.63494,0.02228365
204.52687,0.02233166
37.834698,0.0223461
359.04698,0.02248196
53.093052,0.02251696
49.367423,0.02261435
40.340832,0.02267822
47.173088,0.02279418
